batch_id,inspection_lot_n,pa_id_n,event_type,event_date,CT_value,Abn,SS,FH,Dead,is_degraded,risk_bucket,weak_fraction
867Q3100,80001533042,,current_snapshot,2018-10-03,3.0,,,,,1,At Risk,
867Q3100,80001533042,,initial,2018-10-03,3.0,6.5,67.0,8.5,15.0,1,At Risk,30.0
867Q3100,890001216892,,current_snapshot,2020-08-27,0.5,,,,,1,At Risk,
867Q3100,890001216892,,initial,2020-08-27,0.5,0.0,9.5,49.0,41.0,1,At Risk,90.0
867Q5350X,80001537961,,current_snapshot,2020-07-02,31.0,,,,,1,At Risk,
867Q5350X,80001537961,,initial,2020-07-02,31.0,2.5,64.0,0.0,7.5,1,At Risk,10.0
867Q5350X,80001669779,,current_snapshot,2021-12-23,10.0,,,,,1,At Risk,
867Q5350X,80001669779,,initial,2021-12-23,10.0,7.5,59.5,0.0,23.0,1,At Risk,30.5
867Q5350X,80001698500,,current_snapshot,2022-03-02,7.5,,,,,1,At Risk,
867Q5350X,80001698500,,initial,2022-03-02,7.5,2.0,72.0,8.0,10.5,1,At Risk,20.5
867Q5350X,890001340040,,current_snapshot,2022-09-27,12.0,,,,,1,At Risk,
867Q5350X,890001340040,,initial,2022-09-27,12.0,12.5,56.0,0.0,19.5,1,At Risk,32.0
867Q5350X,890001360261,,current_snapshot,2023-02-06,4.0,,,,,1,At Risk,
867Q5350X,890001360261,,initial,2023-02-08,4.0,5.0,66.0,3.0,22.0,1,At Risk,30.0
867Q5350X,890001411634,,initial,2023-09-15,12.0,5.5,54.0,4.5,24.0,1,At Risk,34.0
867Q5350X,890001411634,,initial,2023-09-15,12.0,5.5,54.0,4.5,24.0,1,At Risk,34.0
867Q5350X,890001411634,,initial_resample,2023-09-15,6.0,,,,31.5,1,At Risk,31.5
867Q5350X,890001411634,,initial_resample,2023-09-15,6.0,,,,31.5,1,At Risk,31.5
867Q5350X,890001411634,,current_snapshot,2024-02-26,6.0,,,,,1,At Risk,
867Q5350X,890001411634,,current_snapshot,2024-02-26,6.0,,,,,1,At Risk,
867Q5350X,80001911790,,initial,2024-08-15,9.0,1.0,38.0,37.5,14.5,1,At Risk,53.0
867Q5350X,80001911790,,initial,2024-08-15,9.0,1.0,38.0,37.5,14.5,1,At Risk,53.0
867Q5350X,80001911790,,initial_resample,2024-08-15,1.5,,,,6.5,1,At Risk,6.5
867Q5350X,80001911790,,initial_resample,2024-08-15,1.5,,,,6.5,1,At Risk,6.5
867Q5350X,80001911790,,current_snapshot,2025-01-28,1.5,,,,,1,At Risk,
867Q5350X,80001911790,,current_snapshot,2025-01-28,1.5,,,,,1,At Risk,
867Q5350X,80001969734,,initial,2025-08-07,1.5,2.0,36.0,51.0,9.5,1,At Risk,62.5
867Q5350X,80001969734,,current_snapshot,2025-08-08,1.5,,,,,1,At Risk,
867Q7005X,80001538545,,initial,2020-07-01,30.5,11.0,53.0,3.0,2.5,1,At Risk,16.5
867Q7005X,80001538545,,initial_resample,2020-07-01,21.0,,,,4.0,1,At Risk,4.0
867Q7005X,80001538545,,current_snapshot,2021-06-16,21.0,,,,,1,At Risk,
867Q7005X,80001677566,,current_snapshot,2021-10-18,9.0,,,,,1,At Risk,
867Q7005X,80001677566,,current_snapshot,2021-10-18,9.0,,,,,1,At Risk,
867Q7005X,80001677566,,initial,2021-10-18,9.0,4.0,79.0,0.0,8.0,1,At Risk,12.0
867Q7005X,80001677566,,initial,2021-10-18,9.0,4.0,79.0,0.0,8.0,1,At Risk,12.0
867Q7005X,80001698501,,current_snapshot,2022-03-01,33.5,,,,,1,At Risk,
867Q7005X,80001698501,,initial,2022-03-01,33.5,3.0,57.5,0.0,6.0,1,At Risk,9.0
867Q7005X,890001340032,,current_snapshot,2022-09-29,19.0,,,,,1,At Risk,
867Q7005X,890001340032,,initial,2022-09-29,19.0,6.0,63.0,0.0,12.0,1,At Risk,18.0
867Q7005X,890001411614,,initial,2023-09-15,14.0,1.5,76.0,5.0,3.5,1,At Risk,10.0
867Q7005X,890001411614,,initial,2023-09-15,14.0,1.5,76.0,5.0,3.5,1,At Risk,10.0
867Q7005X,890001411614,,initial_resample,2023-09-15,13.0,,,,7.5,1,At Risk,7.5
867Q7005X,890001411614,,initial_resample,2023-09-15,13.0,,,,7.5,1,At Risk,7.5
867Q7005X,890001411614,,current_snapshot,2024-02-27,13.0,,,,,1,At Risk,
867Q7005X,890001411614,,current_snapshot,2024-02-27,13.0,,,,,1,At Risk,
867Q7005X,80001908073,,current_snapshot,2024-08-15,15.0,,,,,1,At Risk,
867Q7005X,80001908073,,initial,2024-08-15,15.0,13.0,56.0,11.5,4.5,1,At Risk,29.0
A0ARA1MC,80001664096,,current_snapshot,2021-06-14,62.0,,,,,0,Watch,
A0ARA1MC,80001664096,,initial,2021-06-14,62.0,18.0,16.5,1.5,2.0,0,Watch,21.5
A0ARA1MCEA,40003597533,,current_snapshot,2021-06-10,33.0,,,,,1,At Risk,
A0ARA1MCEA,40003597533,,current_snapshot,2021-06-10,33.0,,,,,1,At Risk,
A0ARA1MCEA,40003597533,,test,2021-06-10,33.0,,,,,1,At Risk,
A0ARA1MCEA,40003597533,,test,2021-06-10,33.0,,,,,1,At Risk,
A0ARA1MCEA,890001276773,,initial,2021-10-25,35.0,19.0,35.5,0.5,10.0,1,At Risk,29.5
A0ARA1MCEA,890001276773,,test,2022-03-07,92.0,2.5,3.5,0.5,1.5,0,Safe,4.5
A0ARA1MCEA,890001276773,,current_snapshot,2022-03-08,92.0,,,,,0,Safe,
A0BHA1MH,80001664099,,current_snapshot,2021-06-14,75.0,,,,,0,Safe,
A0BHA1MH,80001664099,,initial,2021-06-14,75.0,3.5,17.5,0.5,3.5,0,Safe,7.5
A0BHA1MHEA,40003597245,,current_snapshot,2021-06-10,83.0,,,,,0,Safe,
A0BHA1MHEA,40003597245,,current_snapshot,2021-06-10,83.0,,,,,0,Safe,
A0BHA1MHEA,40003597245,,test,2021-06-10,83.0,,,,,0,Safe,
A0BHA1MHEA,40003597245,,test,2021-06-10,83.0,,,,,0,Safe,
A0BHA1MHEA,890001276774,,current_snapshot,2021-10-25,42.0,,,,,1,At Risk,
A0BHA1MHEA,890001276774,,initial,2021-10-25,42.0,12.0,39.0,1.0,6.0,1,At Risk,19.0
A0DSA1WJ,80001664100,,current_snapshot,2021-06-14,87.5,,,,,0,Safe,
A0DSA1WJ,80001664100,,initial,2021-06-14,87.5,4.5,7.5,0.0,0.5,0,Safe,5.0
A0DSA1WJEA,40003597239,,current_snapshot,2021-06-10,87.0,,,,,0,Safe,
A0DSA1WJEA,40003597239,,current_snapshot,2021-06-10,87.0,,,,,0,Safe,
A0DSA1WJEA,40003597239,,test,2021-06-10,87.0,,,,,0,Safe,
A0DSA1WJEA,40003597239,,test,2021-06-10,87.0,,,,,0,Safe,
A0DSA1WJEA,890001276775,,current_snapshot,2021-10-19,80.5,,,,,0,Safe,
A0DSA1WJEA,890001276775,,initial,2021-10-19,80.5,8.5,8.5,0.0,2.5,0,Safe,11.0
A0EMA1JS,80001664098,,current_snapshot,2021-06-14,88.0,,,,,0,Safe,
A0EMA1JS,80001664098,,initial,2021-06-14,88.0,4.5,7.0,0.0,0.5,0,Safe,5.0
A0EMA1JSEA,40003597238,,current_snapshot,2021-06-10,83.0,,,,,0,Safe,
A0EMA1JSEA,40003597238,,current_snapshot,2021-06-10,83.0,,,,,0,Safe,
A0EMA1JSEA,40003597238,,test,2021-06-10,83.0,,,,,0,Safe,
A0EMA1JSEA,40003597238,,test,2021-06-10,83.0,,,,,0,Safe,
A0EMA1JSEA,890001276776,,current_snapshot,2021-10-19,74.0,,,,,0,Safe,
