stakeholder_rank,batch_id,lineage_id,stage,CT_current_target,pred_ct_current,pred_prob_degradation,days_to_threshold_proxy,current_risk_bucket,predicted_risk_bucket
1.0,F36U,F36U,1.0,0.0,0.3930973360110206,0.9988962379571564,0.0,At Risk,At Risk
2.0,F3DU,F3DU,1.0,0.0,0.5937807997635328,0.9988550373479747,0.0,At Risk,At Risk
2.0,F34T,F34T,1.0,1.0,0.5937807997635328,0.9988550373479747,0.0,At Risk,At Risk
2.0,F3YZ,F3YZ,1.0,0.0,0.5937807997635328,0.9988550373479747,0.0,At Risk,At Risk
3.0,F3DT,F3DT,1.0,2.5,1.4520772595332716,0.9988544735392947,0.0,At Risk,At Risk
4.0,F37X,F37X,1.0,1.0,0.3930973360110206,0.9988540500076031,0.0,At Risk,At Risk
5.0,F34Z,F34Z,1.0,1.0,0.6859831532392343,0.9988439483815177,0.0,At Risk,At Risk
5.0,F3WW,F3WW,1.0,0.0,0.6859831532392343,0.9988439483815177,0.0,At Risk,At Risk
5.0,F3XS,F3XS,1.0,1.0,0.6859831532392343,0.9988439483815177,0.0,At Risk,At Risk
6.0,F33V,F33V,1.0,0.0,0.3930973360110206,0.9988282154044085,0.0,At Risk,At Risk
6.0,F3BV,F3BV,1.0,0.5,0.3930973360110206,0.9988282154044085,0.0,At Risk,At Risk
7.0,F3GU,F3GU,1.0,0.0,0.3696893008551422,0.9988147076268309,0.0,At Risk,At Risk
8.0,F32X,F32X,1.0,3.0,3.2971463110054726,0.9987977471479619,0.0,At Risk,At Risk
9.0,F3HU,F3HU,1.0,3.0,2.6627546685306767,0.9987630263631323,0.0,At Risk,At Risk
10.0,F3GS,F3GS,1.0,0.0,0.6859831532392343,0.9987556786959262,0.0,At Risk,At Risk
11.0,F34X,F34X,1.0,1.5,1.50151260676439,0.9987379318987858,0.0,At Risk,At Risk
12.0,F3UX,F3UX,1.0,2.0,1.2732998153405968,0.9987221719867515,0.0,At Risk,At Risk
13.0,F3HX,F3HX,1.0,5.0,3.846150524300622,0.998719388672736,0.0,At Risk,At Risk
14.0,F3KT,F3KT,1.0,7.0,5.895579151476398,0.9987048758175208,0.0,At Risk,At Risk
15.0,F3L1,F3L1,1.0,5.0,4.581390038178903,0.9987048540448445,0.0,At Risk,At Risk
16.0,F3TZ,F3TZ,1.0,3.0,2.7752260714035364,0.9986939873689322,0.0,At Risk,At Risk
17.0,L3F4340586,,,2.0,0.46527773959305063,0.9986898186133404,0.0,At Risk,At Risk
18.0,F3LS,F3LS,1.0,2.0,1.2498917801847185,0.9986411128448275,0.0,At Risk,At Risk
19.0,F3GZ,F3GZ,1.0,1.5,1.2732998153405968,0.9986288413664285,0.0,At Risk,At Risk
20.0,F3RT,F3RT,1.0,8.5,7.998495402924356,0.9986228754136782,0.0,At Risk,At Risk
21.0,F3RTQ42U,F3RTQ42U,2.0,2.5,0.47378276220354143,0.9985766730840421,0.0,At Risk,At Risk
22.0,F29WQ31J,F29WQ31J,2.0,2.0,0.47378276220354143,0.9985649129316224,0.0,At Risk,At Risk
23.0,F3GX,F3GX,1.0,3.0,2.460569189182124,0.9985525500190043,0.0,At Risk,At Risk
24.0,F37T,F37T,1.0,1.5,1.3785457206410132,0.9985403283976809,0.0,At Risk,At Risk
25.0,F5KJ,F5KJ,1.0,6.5,4.811628432178607,0.9985355179437874,0.0,At Risk,At Risk
26.0,L3L4340203,,,6.5,4.811656345459698,0.9985322993235538,0.0,At Risk,At Risk
26.0,L5W6441152,,,6.5,4.811656345459698,0.9985322993235538,0.0,At Risk,At Risk
26.0,L3L4340356,,,7.0,5.914993333257441,0.9985322993235538,0.0,At Risk,At Risk
26.0,L3L4340562,,,7.0,5.914993333257441,0.9985322993235538,0.0,At Risk,At Risk
27.0,F352,F352,1.0,2.0,0.6106396982901964,0.9985229639381688,0.0,At Risk,At Risk
28.0,L0YH15953,,,4.5,3.8138837642987227,0.9985182076595641,0.0,At Risk,At Risk
28.0,L3A3340741,,,4.5,3.8138837642987227,0.9985182076595641,0.0,At Risk,At Risk
29.0,L3W3340275,,,2.0,0.46527773959305063,0.9984733281295327,0.0,At Risk,At Risk
30.0,L0UJ15622,,,2.0,0.46527773959305063,0.9984719373048492,0.0,At Risk,At Risk
30.0,L2AR017610,,,2.5,0.46527773959305063,0.9984719373048492,0.0,At Risk,At Risk
31.0,L3L4340547,,,2.5,0.46527773959305063,0.9984610585589256,0.0,At Risk,At Risk
32.0,L0KF14573,,,7.5,5.914993333257441,0.9984569059768026,0.0,At Risk,At Risk
33.0,F22WQ33G,F22WQ33G,2.0,5.0,3.8223887869092135,0.9984532615883094,0.0,At Risk,At Risk
34.0,F2J7Q32D,F2J7Q32D,2.0,2.5,1.1194363424383067,0.998441954852097,0.0,At Risk,At Risk
35.0,F263Q32S,F263Q32S,2.0,1.0,0.4276024627554521,0.9984389984601781,0.0,At Risk,At Risk
35.0,F25KQ33M,F25KQ33M,2.0,1.0,0.4276024627554521,0.9984389984601781,0.0,At Risk,At Risk
36.0,F257Q32X,F257Q32X,2.0,7.0,5.923498355867931,0.998436464000893,0.0,At Risk,At Risk
37.0,F28SQ34G,F28SQ34G,2.0,6.5,4.820161368070188,0.9984353138439266,0.0,At Risk,At Risk
38.0,F34XQ41U,F34XQ41U,2.0,1.5,1.1194363424383067,0.9984350793566618,0.0,At Risk,At Risk
38.0,F2P2Q33Q,F2P2Q33Q,2.0,2.5,1.1194363424383067,0.9984350793566618,0.0,At Risk,At Risk
