lineage_id,PA_ID,PA_ID_N,FUZZY_PRCS_ORD_NBR,FUZZY_PRCS_ORD_NBR_N,PRCS_ORD_NBR,PRCS_ORD_NBR_N,INSPCT_LOT_NBR,INSPCT_LOT_NBR_N,Brand,Variety,Origin_Region,Grower_Region,SEASON_YR,SITE_NM,lot_created_dt,ABA_Level,max_stage,stage,batch_id,batch_id_raw
922,21.0,21,2502338988.0,2502338988,,,000000000000,000000000000,Delta Pine,DP2115B3XF,,,2022,BP Hollandale MS,2022-09-22,,1,1,922,922
A77U,,,,,,,            ,,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Eloy AZ,2018-01-19,,4,1,A77U,A77U
A77UK8YCBB,,,,,,,040005166690,040005166690,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Lubbock TX,,,4,1,A77U,A77U
A77UK8YCBB,,,,,,,050001395465,050001395465,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Lubbock TX,2019-01-07,,4,1,A77U,A77U
A77UK8YCBB,,,,,,,050001395308,050001395308,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Lubbock TX,2019-01-08,,4,1,A77U,A77U
A77UK8YCEW,,,,,,,040005164486,040005164486,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Lubbock TX,2018-11-13,,4,1,A77U,A77U
A77UK8YCEW,,,,,,,050001468113,050001468113,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Lubbock TX,2019-09-13,,4,1,A77U,A77U
A77UKYCEW,,,,,,,040005167165,040005167165,Delta Pine,DP1518B2XF,,,2017,BP Lubbock TX,,,4,1,A77U,A77U
A78NK82AZU,,,,,,,040005170261,040005170261,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Lubbock TX,,,4,1,A77U,A77U
A78NK82AZU,,,,,,,050001396061,050001396061,Delta Pine,DP1518B2XF,AZ,Arizona,2017,BP Lubbock TX,2019-01-07,,4,1,A77U,A77U
