lineage_id,stage_s4,CT_initial_stage_s4,CT_current_stage_s4,weak_fraction_s4,max_cumulated_dd60_s4,avg_soil_moisture_s4,n_events_s4,stage_s2,CT_initial_stage_s2,CT_current_stage_s2,weak_fraction_s2,max_cumulated_dd60_s2,avg_soil_moisture_s2,n_events_s2,stage_s1,CT_initial_stage_s1,CT_current_stage_s1,weak_fraction_s1,max_cumulated_dd60_s1,avg_soil_moisture_s1,n_events_s1,loss_1_to_2,loss_2_to_4
A7AZE77YFU,4.0,,91.0,,,,2,,,,,,,,,,,,,,,,
A7EJE7GKHA,4.0,20.5,20.5,28.0,,,4,,,,,,,,,,,,,,,,
C8ARL92ULB,4.0,77.0,46.5,16.61111111111111,,,14,,,,,,,,,,,,,,,,
E034L1JGLA,4.0,82.5,70.5,10.0,,,8,2.0,49.0,49.0,24.5,,,2.0,1.0,41.5,41.5,31.0,,,2.0,7.5,33.5
E034L1JGLB,4.0,76.0,76.0,10.0,,,10,2.0,49.0,49.0,24.5,,,2.0,1.0,41.5,41.5,31.0,,,2.0,7.5,27.0
E034L1JGLC,4.0,72.0,72.0,12.0,,,6,2.0,49.0,49.0,24.5,,,2.0,1.0,41.5,41.5,31.0,,,2.0,7.5,23.0
E034L1JGLD,4.0,84.5,77.0,8.0,,,11,2.0,49.0,49.0,24.5,,,2.0,1.0,41.5,41.5,31.0,,,2.0,7.5,35.5
E034L1JHLA,4.0,,64.0,,,,4,2.0,30.5,30.5,32.5,,,2.0,1.0,41.5,41.5,31.0,,,2.0,-11.0,
E034L1JHLB,4.0,88.0,81.0,6.5,,,8,2.0,30.5,30.5,32.5,,,2.0,1.0,41.5,41.5,31.0,,,2.0,-11.0,57.5
E036B1NHLA,4.0,83.0,74.5,12.5,,,9,2.0,70.0,70.0,17.5,,,2.0,1.0,56.83,64.42,21.65192307692308,,,25.0,13.170000000000002,13.0
E036B1NHLB,4.0,69.5,69.5,14.5,,,4,2.0,70.0,70.0,17.5,,,2.0,1.0,56.83,64.42,21.65192307692308,,,25.0,13.170000000000002,-0.5
E037H1UYLA,4.0,77.5,68.5,20.0,,,11,2.0,65.5,65.5,18.5,,,4.0,1.0,51.0,51.0,27.5,,,2.0,14.5,12.0
E037H1UYLB,4.0,72.5,77.5,14.0,,,7,2.0,65.5,65.5,18.5,,,4.0,1.0,51.0,51.0,27.5,,,2.0,14.5,7.0
E037H1UZLA,4.0,67.0,67.0,23.0,,,6,2.0,67.5,67.5,14.5,,,2.0,1.0,51.0,51.0,27.5,,,2.0,16.5,-0.5
E037H1UZLB,4.0,69.0,63.0,22.5,,,8,2.0,67.5,67.5,14.5,,,2.0,1.0,51.0,51.0,27.5,,,2.0,16.5,1.5
E038H1ULLA,4.0,74.5,54.0,19.0,,,9,2.0,30.0,30.0,38.5,,,4.0,1.0,69.0,69.0,17.5,,,2.0,-39.0,44.5
E042L1JULA,4.0,86.0,79.5,6.857142857142857,,,15,2.0,82.0,82.0,10.0,,,4.0,1.0,83.25,83.25,12.5,,,2.0,-1.25,4.0
E042L1JULB,4.0,76.0,85.0,6.833333333333333,,,11,2.0,82.0,82.0,10.0,,,4.0,1.0,83.25,83.25,12.5,,,2.0,-1.25,-6.0
E042L1JVLA,4.0,96.0,88.5,4.166666666666667,,,9,2.0,87.0,87.0,5.5,,,4.0,1.0,83.25,83.25,12.5,,,2.0,3.75,9.0
E042L1JVLB,4.0,87.0,87.8,7.65,,,5,2.0,87.0,87.0,5.5,,,4.0,1.0,83.25,83.25,12.5,,,2.0,3.75,0.0
E042L1JWLA,4.0,80.5,86.25,6.416666666666667,,,11,2.0,83.0,83.0,9.5,,,2.0,1.0,83.25,83.25,12.5,,,2.0,-0.25,-2.5
E044L1JGLA,4.0,90.5,87.0,8.416666666666666,,,7,2.0,61.5,61.5,14.5,,,4.0,1.0,68.5,68.5,18.17,,,2.0,-7.0,29.0
E044L1JGLB,4.0,85.5,85.5,8.0,,,11,2.0,61.5,61.5,14.5,,,4.0,1.0,68.5,68.5,18.17,,,2.0,-7.0,24.0
E044L1JHLA,4.0,83.5,83.5,7.5,,,6,2.0,76.5,76.5,11.0,,,4.0,1.0,68.5,68.5,18.17,,,2.0,8.0,7.0
E044L1JHLB,4.0,71.5,86.5,6.75,,,11,2.0,76.5,76.5,11.0,,,4.0,1.0,68.5,68.5,18.17,,,2.0,8.0,-5.0
E044L1JHLC,4.0,89.0,89.0,5.0,,,4,2.0,76.5,76.5,11.0,,,4.0,1.0,68.5,68.5,18.17,,,2.0,8.0,12.5
E044L1JHLD,4.0,89.0,81.5,10.5,,,12,2.0,76.5,76.5,11.0,,,4.0,1.0,68.5,68.5,18.17,,,2.0,8.0,12.5
E044L1JJLA,4.0,90.0,59.5,13.333333333333334,,,7,2.0,74.0,74.0,13.5,,,4.0,1.0,68.5,68.5,18.17,,,2.0,5.5,16.0
E044L1JJLB,4.0,85.0,81.5,8.75,,,8,2.0,74.0,74.0,13.5,,,4.0,1.0,68.5,68.5,18.17,,,2.0,5.5,11.0
E044L1JKLA,4.0,87.5,89.5,6.5,,,9,2.0,74.5,74.5,13.0,,,2.0,1.0,68.5,68.5,18.17,,,2.0,6.0,13.0
E044L1JKLB,4.0,83.5,87.0,9.0,,,7,2.0,74.5,74.5,13.0,,,2.0,1.0,68.5,68.5,18.17,,,2.0,6.0,9.0
